Station,Date,"Avg Temp","RH Max","Vapor Pressure","Liquid Precip"
id,date,"deg F","%",kPa,in
akr02,"11/25/2025",29.58,0.861,0.346,0.0
akr02,"11/26/2025",27.75,0.891,0.337,0.0
akr02,"11/27/2025",33.18,0.915,0.452,0.0
akr02,"11/28/2025",30.51,0.988,0.51,0.07
akr02,"11/29/2025",18.88,0.977,0.277,0.0
akr02,"11/30/2025",15.58,0.888,0.24,0.0
akr02,"12/01/2025",21.19,0.901,0.252,0.0
alt01,"11/25/2025",35.13,0.638,0.269,0.0
alt01,"11/26/2025",24.93,0.768,0.278,0.0
alt01,"11/27/2025",30.39,0.858,0.359,0.0
alt01,"11/28/2025",32.57,0.928,0.456,0.0
alt01,"11/29/2025",22.05,0.777,0.225,0.0
alt01,"11/30/2025",16.93,0.906,0.238,0.0
alt01,"12/01/2025",21.23,0.966,0.247,0.0
avn01,"11/25/2025",36.67,0.902,0.461,0.0
avn01,"11/26/2025",33.71,0.897,0.422,0.0
avn01,"11/27/2025",33.71,0.935,0.465,0.0
avn01,"11/28/2025",35.29,0.935,0.531,0.0
avn01,"11/29/2025",29.49,0.937,0.34,0.0
avn01,"11/30/2025",24.01,0.828,0.262,0.0
avn01,"12/01/2025",23.54,0.907,0.296,0.07
bla01,"11/25/2025",29.35,0.976,0.394,0.0
bla01,"11/26/2025",31.13,0.951,0.393,0.0
bla01,"11/27/2025",31.22,0.931,0.391,0.0
bla01,"11/28/2025",35.42,0.912,0.398,0.0
bla01,"11/29/2025",34.96,0.756,0.277,0.0
bla01,"11/30/2025",31.01,0.921,0.396,0.0
bla01,"12/01/2025",28.07,0.977,0.301,0.0
bnv01,"11/25/2025",33.31,0.986,0.31,0.0
bnv01,"11/26/2025",32.7,0.997,0.306,0.0
bnv01,"11/27/2025",33.76,0.938,0.344,0.0
bnv01,"11/28/2025",34.1,0.942,0.306,0.0
bnv01,"11/29/2025",32.28,0.919,0.226,0.0
bnv01,"11/30/2025",18.95,0.994,0.308,0.0
bnv01,"12/01/2025",21.29,0.969,0.21,0.0
brg01,"11/25/2025",29.1,0.917,0.335,0.0
brg01,"11/26/2025",23.97,0.966,0.332,0.0
brg01,"11/27/2025",29.83,0.966,0.413,0.0
brg01,"11/28/2025",31.69,1.022,0.5,0.0
brg01,"11/29/2025",18.93,0.908,0.235,0.0
brg01,"11/30/2025",15.85,0.933,0.246,0.0
brg01,"12/01/2025",20.21,0.959,0.231,0.0
brl02,"11/25/2025",32.53,0.865,0.391,0.0
brl02,"11/26/2025",28.0,0.857,0.347,0.0
brl02,"11/27/2025",33.54,0.92,0.441,0.0
brl02,"11/28/2025",31.37,1.002,0.571,0.0
brl02,"11/29/2025",22.53,1.01,0.324,0.0
brl02,"11/30/2025",15.8,0.891,0.245,0.0
brl02,"12/01/2025",21.79,0.943,0.269,0.02
brl03,"11/25/2025",32.07,0.859,0.37,0.0
brl03,"11/26/2025",27.82,0.829,0.33,0.0
brl03,"11/27/2025",34.07,0.881,0.44,0.0
brl03,"11/28/2025",30.9,0.98,0.549,0.0
brl03,"11/29/2025",21.93,1.06,0.315,0.0
brl03,"11/30/2025",15.58,0.894,0.239,0.0
brl03,"12/01/2025",21.77,0.911,0.254,0.01
cbl01,"11/25/2025",33.31,0.938,0.46,0.0
cbl01,"11/26/2025",31.07,0.941,0.399,0.0
cbl01,"11/27/2025",32.22,0.933,0.388,0.0
cbl01,"11/28/2025",34.21,0.949,0.431,0.0
cbl01,"11/29/2025",34.25,0.752,0.279,0.0
cbl01,"11/30/2025",26.58,0.979,0.41,0.0
cbl01,"12/01/2025",20.79,0.979,0.309,0.17
cbn01,"11/25/2025",30.82,0.554,0.316,0.0
cbn01,"11/26/2025",35.89,0.776,0.378,0.0
cbn01,"11/27/2025",37.55,0.701,0.381,0.0
cbn01,"11/28/2025",37.16,0.785,0.422,0.0
cbn01,"11/29/2025",34.9,0.797,0.31,0.0
cbn01,"11/30/2025",31.1,0.962,0.413,0.0
cbn01,"12/01/2025",25.01,0.929,0.32,0.17
ccr01,"11/25/2025",33.78,0.747,0.331,0.0
ccr01,"11/26/2025",30.39,0.882,0.31,0.0
ccr01,"11/27/2025",35.59,0.836,0.391,0.0
ccr01,"11/28/2025",40.67,0.885,0.415,0.0
ccr01,"11/29/2025",23.0,0.876,0.279,0.0
ccr01,"11/30/2025",18.49,0.844,0.242,0.0
ccr01,"12/01/2025",26.8,0.849,0.234,0.0
cht01,"11/25/2025",35.73,0.77,0.362,0.0
cht01,"11/26/2025",29.96,0.805,0.323,0.0
cht01,"11/27/2025",35.73,0.789,0.387,0.0
cht01,"11/28/2025",41.48,0.83,0.423,0.0
cht01,"11/29/2025",25.42,0.869,0.315,0.0
cht01,"11/30/2025",19.06,0.882,0.242,0.0
cht01,"12/01/2025",28.41,0.865,0.261,0.0
ckp01,"11/25/2025",32.81,0.754,0.265,0.0
ckp01,"11/26/2025",23.75,0.819,0.262,0.0
ckp01,"11/27/2025",27.5,0.846,0.326,0.0
