Station,Date,"Gust Speed","Gust Dir","Solar Rad"
id,date,mph,degrees,W/m2
akr02,"11/25/2025",36.44,344.3,118.17
akr02,"11/26/2025",14.24,192.2,72.99
akr02,"11/27/2025",16.75,142.3,67.94
akr02,"11/28/2025",16.75,284.2,56.28
akr02,"11/29/2025",47.53,349.6,117.82
akr02,"11/30/2025",21.77,144.7,56.45
akr02,"12/01/2025",21.41,326.0,117.13
alt01,"11/25/2025",43.51,351.3,111.55
alt01,"11/26/2025",11.63,329.7,55.65
alt01,"11/27/2025",10.51,44.6,65.26
alt01,"11/28/2025",36.24,275.3,82.99
alt01,"11/29/2025",47.42,1.7,107.31
alt01,"11/30/2025",14.99,149.1,43.62
alt01,"12/01/2025",11.07,206.7,97.87
avn01,"11/25/2025",14.71,111.5,111.11
avn01,"11/26/2025",8.67,136.7,106.13
avn01,"11/27/2025",9.67,94.8,111.46
avn01,"11/28/2025",10.18,97.6,65.24
avn01,"11/29/2025",20.07,10.2,100.23
avn01,"11/30/2025",11.52,70.5,89.91
avn01,"12/01/2025",10.35,340.4,108.33
bla01,"11/25/2025",16.11,312.2,126.73
bla01,"11/26/2025",17.78,174.9,128.37
bla01,"11/27/2025",8.84,299.9,133.02
bla01,"11/28/2025",24.49,215.3,132.67
bla01,"11/29/2025",21.14,327.2,136.94
bla01,"11/30/2025",28.97,172.6,104.76
bla01,"12/01/2025",25.61,308.6,135.01
bnv01,"11/25/2025",25.61,239.0,132.15
bnv01,"11/26/2025",32.32,285.5,125.32
bnv01,"11/27/2025",16.11,244.8,130.17
bnv01,"11/28/2025",33.44,246.7,119.84
bnv01,"11/29/2025",31.21,278.8,131.66
bnv01,"11/30/2025",17.22,160.7,60.15
bnv01,"12/01/2025",27.85,332.0,132.41
brg01,"11/25/2025",34.56,5.3,125.13
brg01,"11/26/2025",7.16,38.0,55.11
brg01,"11/27/2025",22.82,154.0,46.73
brg01,"11/28/2025",13.87,169.4,72.7
brg01,"11/29/2025",41.27,334.1,117.81
brg01,"11/30/2025",21.7,147.5,45.29
brg01,"12/01/2025",22.26,277.2,117.5
brl02,"11/25/2025",31.21,174.2,113.75
brl02,"11/26/2025",15.55,172.5,68.93
brl02,"11/27/2025",16.11,128.6,103.64
brl02,"11/28/2025",21.7,333.9,33.44
brl02,"11/29/2025",37.92,3.4,117.14
brl02,"11/30/2025",19.46,145.4,67.42
brl02,"12/01/2025",24.49,331.4,115.4
brl03,"11/25/2025",29.15,340.4,116.44
brl03,"11/26/2025",15.55,161.6,73.62
brl03,"11/27/2025",17.56,132.7,106.13
